,nickname,R,F,M
612,0qianmin7507,43,1,87
613,0qichun98,62,1,49
614,0qingba0,27,1,220
615,0qingqingbaby_28,93,1,94
616,0qingtian79,103,1,33
617,0qinnini200719,43,1,270
618,0qinyuran25,127,1,129
619,0qiuxiaotin0,141,1,168
620,0qq3916009,120,1,190
621,0qqjaja0802,38,1,94
622,0qsw000,141,1,108
623,0quan2053,121,1,49
624,0queena05,23,1,104
625,0queenie_9,125,1,67
626,0qw10347674,143,1,160
627,0qwe12370,147,1,146
628,0rain03,23,1,89
629,0rainbow_19,70,1,40
630,0ran6,23,1,89
631,0ranm0,50,2,243
632,0rannan02,43,1,261
633,0rebecca198402,43,1,35
634,0redhair7,141,1,130
635,0renen_29,134,1,31
636,0rensha1,137,2,129
637,0ribbit7,134,1,126
638,0richal25,78,1,149
639,0rongjie6,138,1,124
640,0ronron03,41,1,87
641,0rose9809,43,1,87
642,0rosesrain_22,88,1,182
643,0rr470,99,1,239
644,0rubing18,2,1,255
645,0rubywi1,139,1,34
646,0s656127,130,1,132
647,0sabrina1129,131,1,128
648,0sabrina3,104,1,251
649,0saisai98,104,1,87
650,0sally03,134,1,33
651,0sally70,141,1,63
652,0sammi10,135,1,269
653,0samwen15,99,1,94
654,0sandyzy413,136,1,213
655,0sangwoo198811,61,1,139
656,0sasaking0,54,1,38
657,0sb06,15,2,394
658,0schizandr1,82,2,274
659,0seea10,136,1,82
660,0seie0,123,1,82
661,0seira17,141,1,79
662,0sense42523,101,1,177
663,0sexy19,141,1,254
664,0sh6359733,141,1,150
665,0sh9034_28,103,2,356
666,0shadow031,126,1,79
667,0shadow_no18,18,1,313
668,0shadowboyfriend7,141,1,64
669,0shajin17,93,1,143
670,0shake1,43,2,272
671,0shange9111,16,1,146
672,0shasha05,133,1,37
673,0sheep4,119,1,73
674,0shen2,104,1,56
675,0shengmin01,93,1,94
676,0shennn26,91,1,111
677,0sherry郭1,141,1,70
678,0shijia17,87,1,144
679,0shinyfan0,141,1,94
680,0shirleyha0,43,1,139
681,0shirley小白63,126,1,234
682,0shiwanxiang29,71,1,156
683,0shixin71,16,1,49
684,0shjoyzzz29,141,1,227
685,0shohok1,136,1,72
686,0shouting51,1,1,144
687,0shuangyan8,99,1,223
688,0shuangyu29,104,1,63
689,0shuyuan_15,126,1,142
690,0siberia25,127,1,183
691,0sijia199214,141,1,75
692,0sisi38,54,1,37
693,0sissi07,122,1,79
694,0sissi_princess20,70,1,193
695,0sj1988,141,1,83
696,0sjz199001,43,1,51
697,0sk198806,50,1,46
698,0slcc27,111,1,49
699,0slj198501,141,1,37
700,0slp_05,104,1,271
701,0smarty3,141,1,84
702,0smiles3,133,1,49
703,0sn8,104,2,202
704,0solo1982,124,1,250
705,0songjia40,141,1,63
706,0songyang199013,104,1,89
707,0sophiamama27,141,1,105
708,0sophiazhou22,141,1,37
709,0sosohui08,141,1,183
710,0spacehunter9,104,1,44
711,0spyhan24,121,1,235
712,0sqerica14,7,1,213
713,0ss773,141,1,223
714,0ssl198607,114,1,49
715,0ssyyn0,78,1,144
716,0stella_ye16,43,1,89
717,0stitch4,99,1,31
718,0summer030418,43,1,202
719,0summer_9707,135,1,30
720,0sunflower198812,48,1,162
721,0sunflower93015,138,1,217
722,0sunjl50,21,1,56
723,0sunny200901,62,1,32
724,0sunny_pen8,42,1,154
725,0sunnychou8906,20,1,170
726,0sunshine_8717,65,1,150
727,0sunyan15,136,1,119
728,0susan58,127,1,53
729,0susan_76,141,1,100
730,0susanqi20,19,1,73
731,0susie10,122,1,74
732,0suying08,104,1,95
733,0suzyzhang25,4,1,34
734,0sweeti0,104,1,44
735,0sweety801_26,105,1,49
736,0sy89,104,1,117
737,0syh123456088569,141,1,82
738,0syh2012,141,1,79
739,0syou04,122,1,79
740,0sz257,69,1,40
741,0szv8,12,1,47
742,0t_1480172672274_06,130,1,49
743,0t_1481542367958_05,13,1,130
744,0t_1482290151249_02,117,1,235
