,nickname,R,F,M
4353,2pprr2,58,1,38
4354,2pupupupu3,4,1,33
4355,2pushuai16,129,1,148
4356,2pw7,104,1,204
4357,2pxt1233,106,1,250
4358,2py200419,140,2,254
4359,2q9355650,71,1,139
4360,2qbt1,26,1,213
4361,2qcz7003,102,1,132
4362,2qian8403,71,1,30
4363,2qianjiao08,23,1,34
4364,2qianjin7305,127,1,49
4365,2qiannan513,148,1,151
4366,2qianqian199105,41,1,193
4367,2qianxun0,18,1,40
4368,2qibin5,122,1,54
4369,2qicheyouqi3,131,1,151
4370,2qijie13,141,1,69
4371,2qing19899,7,2,157
4372,2qinxia0,104,1,87
4373,2qipao10,68,1,138
4374,2qiuqiu839412,104,1,161
4375,2qiuxiaojie12,141,1,84
4376,2qiy97,149,1,208
4377,2qq135002722,89,1,139
4378,2qq199612,121,1,149
4379,2qq201213,104,1,53
4380,2qq304515,16,1,208
4381,2qq6272917,113,1,182
4382,2qq8415891,126,1,264
4383,2qqp6,102,2,376
4384,2qqsan08,135,1,31
4385,2quaint14,35,2,153
4386,2rachel25,103,1,87
4387,2raincle08,19,1,144
4388,2rainie0,103,1,89
4389,2reachel9,69,1,45
4390,2reating9,124,1,109
4391,2rikkily6,69,1,49
4392,2rina_0,104,1,39
4393,2rita3,103,1,153
4394,2rogerxue0,141,1,163
4395,2rose002,127,1,67
4396,2rosemary9,141,1,58
4397,2rq1212,30,1,236
4398,2ruanruan0317,141,1,209
4399,2rubydai8,111,1,144
4400,2ry3,141,1,87
4401,2rymiracle3,141,1,63
4402,2sakura20x,23,1,232
4403,2saltycookie8,124,1,230
4404,2sandra_06,43,1,105
4405,2sandychen00,103,1,33
4406,2sandylee3,88,1,146
4407,2sandyw8,103,1,87
4408,2sansan35,104,1,70
4409,2sanxinn8,141,1,127
4410,2sarah_9514,104,1,235
4411,2sarahsy0,43,1,130
4412,2selina4,42,1,37
4413,2selina7,30,1,49
4414,2senio0,127,1,32
4415,2seraphim11,45,1,139
4416,2serena_02,133,1,178
4417,2seul6,141,1,60
4418,2shangji2,43,1,43
4419,2shangshang4,104,1,250
4420,2shashaaaa2,128,1,257
4421,2sheeppig1,43,1,106
4422,2sheery08,104,1,135
4423,2shelleytu7,103,1,87
4424,2shenny07,140,1,64
4425,2shenxiaofei3,86,1,126
4426,2sherrycheng12,126,1,82
4427,2sherrywu0,78,1,205
4428,2shghm3,87,1,45
4429,2shilly3,141,1,75
4430,2shilulu71,42,1,99
4431,2shimmer2,99,1,162
4432,2shine4,62,1,94
4433,2shiney平06,57,1,148
4434,2shirley19830,139,1,149
4435,2shirleyvan10,38,1,204
4436,2shirleyzf3,23,1,89
4437,2shiro01,83,1,160
4438,2shizizuo8,79,1,203
4439,2shuilanse2,38,1,94
4440,2shuli7,43,1,89
4441,2shzengzheng9,104,1,87
4442,2si12238420,42,1,209
4443,2simon3,129,2,264
4444,2sinning7,99,1,119
4445,2sj0614,23,1,157
4446,2sj198502,60,1,224
4447,2sjj88,81,1,178
4448,2sjkt03,102,1,87
4449,2sky8815,133,1,138
4450,2slovec1017,140,1,124
4451,2sm0401,141,1,32
4452,2small-pi3,141,1,30
4453,2smilezq3,6,1,37
4454,2smile遇见8438345,141,1,119
4455,2smw06,65,1,116
4456,2snail18,38,1,94
4457,2son044,103,1,109
4458,2songhi9517,32,1,115
4459,2songjing2011,141,1,74
4460,2songl5,60,1,139
4461,2sonic3,126,1,45
4462,2sophia5148,141,1,42
4463,2spacezh7,109,1,204
4464,2starcic3,115,1,193
4465,2stoudemire4,41,1,99
4466,2su199410,103,1,212
4467,2sue29,93,1,94
4468,2sue541,139,1,237
4469,2suee,22,1,89
4470,2sugus7,141,1,84
4471,2suki7,104,1,89
4472,2summer_1315,43,1,99
4473,2summerover00,26,1,149
4474,2sun5809,43,1,231
4475,2sundaycho4,130,1,250
4476,2sunde2,137,1,32
4477,2sunlin8311,87,1,118
4478,2sunny71,71,1,34
4479,2sunshine19904,110,1,265
4480,2sunxiaoyong9,81,1,225
4481,2sunyong198709,43,1,197
4482,2sunyu03,60,1,140
4483,2sunzoe16,141,1,153
4484,2superficial_05,103,1,87
4485,2supersunshine0,97,1,149
4486,2suting198308,72,3,367
4487,2suyi1,72,1,140
4488,2suzhen_lin8608,84,1,153
4489,2suzie01,91,1,180
4490,2sw2,141,1,63
4491,2swend2,125,1,169
4492,2szfo2,141,1,34
4493,2t2v0x0q3,0,1,149
4494,2t_1479481135513_02,5,1,249
4495,2t_1480953706548_06,141,1,72
4496,2t_1483766657517_02,141,1,117
4497,2t_1486125651888_07,75,1,256
4498,2t_1486481948700_06,141,1,30
4499,2t_1487156842517_05,124,1,178
4500,2t_1487421759344_00,22,1,238
4501,2t_1488430522870_03,123,1,84
4502,2t_1493617367339_03,118,1,49
4503,2t_1497589444219_06,20,1,144
4504,2t_1500342096088_03,23,1,125
4505,2t_1506737555824_03,136,1,165
4506,2t_1510091396691_00,141,1,161
4507,2taiyang1210,103,1,118
4508,2tangg13140,60,1,170
4509,2tangmumu1,116,1,49
4510,2tangqi07,72,1,263
4511,2tangtang7,28,1,144
4512,2tanrq1,42,1,87
4513,2tanyifeng10,3,1,32
4514,2taobao503,141,1,82
4515,2taozi01,87,1,49
4516,2tb03767,4,1,39
4517,2tb0742992,58,1,204
4518,2tb11ab,141,1,79
4519,2tb12345上山打老虎541,3,1,108
4520,2tb156299,104,1,253
4521,2tb173632,129,1,66
4522,2tb177502,32,1,111
4523,2tb179603,20,1,168
4524,2tb231015,141,1,259
4525,2tb252267,104,1,141
4526,2tb25972,41,1,89
4527,2tb265809,141,1,79
4528,2tb291666,3,4,309
4529,2tb3016312,141,1,123
4530,2tb3033809,68,1,128
4531,2tb3079502,91,1,261
4532,2tb32304,72,1,94
4533,2tb3537724,141,1,30
4534,2tb37753,72,2,100
4535,2tb3818,104,1,197
4536,2tb3998,141,1,74
4537,2tb4005902,16,1,48
4538,2tb4197029,125,1,31
4539,2tb437886,133,1,42
4540,2tb467852,43,1,260
4541,2tb51501,7,1,94
4542,2tb53153,141,1,34
4543,2tb547090,141,1,224
4544,2tb55379,59,1,149
4545,2tb562487,26,1,159
4546,2tb563041,141,1,87
4547,2tb575904,23,1,89
4548,2tb60060,141,1,64
4549,2tb60453,141,1,82
4550,2tb605295,62,1,33
4551,2tb6629042,61,1,99
4552,2tb66429,4,1,99
4553,2tb71324,141,1,229
4554,2tb713802,104,1,87
4555,2tb7195993,104,1,128
4556,2tb73162,43,1,162
4557,2tb7582182,130,1,61
4558,2tb7606752,126,2,266
4559,2tb7650635,104,1,123
4560,2tb768477,125,1,87
4561,2tb769821,41,1,87
4562,2tb770571,57,1,262
4563,2tb774271,105,1,87
4564,2tb785382,18,1,216
4565,2tb828386,126,1,49
4566,2tb8341302,81,1,258
4567,2tb839082,104,1,34
4568,2tb855413,141,1,220
4569,2tb865247,60,1,239
4570,2tb870447,134,1,147
4571,2tb9234904,139,1,146
4572,2tb9314_12,122,1,67
4573,2tb9503172,22,1,223
4574,2tb961475,131,2,218
4575,2tb963058,104,1,236
4576,2tb98821,19,1,40
4577,2tb_15945,74,1,49
4578,2tb_28741,84,1,173
4579,2tb_4060,61,1,124
4580,2tb_63792,26,2,93
4581,2tb_78896,104,1,87
4582,2tb_cherry0,3,1,116
4583,2tengok0,3,1,94
4584,2thclj0807,141,1,63
4585,2tianlu9,23,1,188
4586,2tianshi990,102,1,163
4587,2tianxia8216,67,1,149
4588,2tianxinpig83,104,1,87
4589,2tiffany1233,141,1,89
4590,2tiffanyhong4,96,2,282
4591,2tinawong3,124,1,72
4592,2tinayan09,5,1,111
4593,2tinegenig1,141,1,82
4594,2ting1230,129,1,128
4595,2tingting0808,145,1,161
4596,2tingting850,57,1,242
4597,2tiramisu1221,135,1,87
4598,2tmj一,135,1,34
4599,2tomato06,43,2,246
4600,2tongtong198306,62,1,47
4601,2tongtong4,43,1,300
4602,2tracy9103,117,1,144
4603,2tracy_14,135,2,249
4604,2ttabb8,141,1,233
4605,2tuday0,22,1,257
4606,2tuzzma2,79,1,185
4607,2tvxq_max0,43,1,117
4608,2twfenny675,38,2,95
4609,2tyler6,104,1,269
4610,2u_h0,18,1,144
4611,2v_vian8,5,1,34
4612,2vc88,30,1,237
4613,2veivei85,62,1,120
4614,2vickey5,138,1,72
4615,2vicki7903,123,1,69
4616,2vicky_2,141,1,79
4617,2vickylin1,103,1,261
4618,2violet201305,62,1,240
4619,2vip8817,104,1,60
4620,2vivi_48487,91,1,94
4621,2vivian8807,61,1,111
4622,2vivianliu13,137,1,63
4623,2vivianvi2,141,1,82
4624,2vivianwan9,78,1,33
4625,2vsongxinyi9413,104,1,210
4626,2wallance0,114,1,149
4627,2wang198005,123,1,109
4628,2wanganna9,6,1,94
4629,2wangchuan6,36,1,40
4630,2wangfujie02,104,1,231
4631,2wanghong19502,106,1,149
4632,2wangjiajia32933,102,1,148
4633,2wangjing19840,6,1,237
4634,2wangjing2830,141,1,37
4635,2wanglei_198608,104,1,87
4636,2wangran12,56,1,157
4637,2wangrantaobao3,119,1,48
4638,2wangyan_14,102,1,175
4639,2wangyang198305,141,1,243
4640,2wangyujia8411,104,1,114
4641,2wangyuting08,12,1,134
4642,2wangzhen19933,132,1,257
4643,2wanlinyu8801,99,1,94
4644,2wanna06,41,1,213
4645,2waterblue2,128,1,42
4646,2watergras3,72,1,264
4647,2wawadog7,125,1,149
4648,2wddy0,49,1,49
4649,2weekly7,72,1,30
4650,2weidao0,132,1,39
4651,2weijing_04,141,1,82
4652,2weiyang9,15,1,249
4653,2wen_rui5,24,1,34
4654,2wendy07,67,1,98
4655,2wendyma11,43,1,31
4656,2wenglq19,141,1,214
4657,2wenliyu9015,86,1,240
4658,2wenran10,51,1,168
4659,2wensihua3,104,1,189
4660,2wgw198706,136,1,49
4661,2whbiln0,91,1,225
4662,2wht,7,1,99
4663,2whz19675948961,65,1,164
4664,2windowsfyd6,104,1,87
4665,2windy76,62,1,99
4666,2winnieliu3,131,1,155
4667,2wj20065,61,1,165
4668,2wjhyl7819,141,1,82
4669,2wjj2715623,88,1,96
4670,2wjy0503,104,1,163
4671,2wjy_02,141,1,158
4672,2wkk43,134,1,251
4673,2wlj135861075,0,1,172
4674,2wpc7,137,1,41
4675,2wq198109,138,1,192
4676,2wrl09,7,1,94
4677,2ws9704,9,2,218
4678,2wsan1,141,1,126
4679,2wslinyun3,14,1,165
4680,2wujing198204,62,1,147
4681,2wulanfang197809,43,1,41
4682,2wumin198708,141,1,79
4683,2wushanshan198901,133,1,74
4684,2wuxiaochuan5,65,1,265
4685,2wuying0,104,1,89
4686,2wwzzyy3,123,1,34
4687,2wxa0,125,2,216
4688,2wxh43,113,1,263
4689,2wxw8518,141,1,64
4690,2wxy0315,126,1,154
4691,2wxyzlj0,104,1,271
4692,2wy135086850,96,1,49
4693,2wyc6728,133,1,218
4694,2wyc91,23,1,89
4695,2wysuccess0,129,1,251
4696,2wyw1,141,1,87
4697,2wyx199700,123,1,87
4698,2wz135586437,62,1,201
4699,2wz5562,43,1,87
4700,2wzhao0,91,1,181
4701,2xff6,42,1,205
4702,2xiajin03,104,1,139
4703,2xialifang17,77,1,258
4704,2xiami8501,62,1,32
4705,2xian4,138,1,118
4706,2xiaohe21,23,1,255
4707,2xiaohuang00,130,1,221
4708,2xiaohui05,43,3,368
4709,2xiaolong185,101,1,40
4710,2xiaomu01,104,1,148
4711,2xiaoruo5,141,1,136
4712,2xiaotaozi_16,43,1,147
4713,2xiaowei1983,130,1,63
4714,2xiaoxiaili8,38,1,143
4715,2xiaoxiang02,121,1,265
4716,2xiaoxiang331,128,1,31
4717,2xiaoxiao9208,80,1,129
4718,2xiaoxiaopig8300,22,1,144
4719,2xiaoxue102383,61,1,222
4720,2xiaoyangde1,124,1,172
4721,2xiaozhu837,102,1,142
4722,2xifancl3,2,1,34
4723,2xinglu2837,129,1,97
4724,2xingmeng01,22,1,51
4725,2xingqitian5,85,1,137
4726,2xiqian03,15,1,219
4727,2xishuizhy_131713,141,1,241
4728,2xixiuqiangwei1233,141,1,98
4729,2xizhenghao12,52,1,161
4730,2xjj8908,104,1,89
4731,2xjm2742890,6,1,31
4732,2xmms12,141,1,246
4733,2xrw198215,61,1,191
4734,2xsjs123153,14,3,159
4735,2xtina19,77,1,144
4736,2xtt5239,44,1,163
4737,2xujie8506,141,1,84
4738,2xujiexuji2,133,1,37
4739,2xuli2006,141,1,79
4740,2xulu_8801,30,1,160
4741,2xuwanwan13,104,1,87
4742,2xuweihan3,91,1,208
4743,2xuwenqin2,6,1,240
4744,2xuxu8610,104,1,87
4745,2xuxueyuan80,131,1,40
4746,2xuyemei1,123,1,30
4747,2xuzhongning07,66,1,39
4748,2xwwkitty05,104,2,122
4749,2xxd9105,104,1,58
4750,2xy06293,69,1,199
4751,2xzmm08,104,1,133
4752,2y1ngz183,6,1,111
4753,2yanchunchun0,43,1,218
4754,2yangcheng9015,23,1,34
4755,2yangdan03,134,1,50
4756,2yangshaohong3,104,1,31
4757,2yangting14,43,1,87
4758,2yangwenjia11,117,1,46
4759,2yangwy01,125,1,106
4760,2yangxianzhez,97,2,134
4761,2yangyong7213,72,1,226
4762,2yanjiang04,104,1,87
4763,2yanwen_0,0,1,46
4764,2yanxiaobai_2,43,2,397
4765,2yanxr00,43,1,87
4766,2yanyan187929707,81,1,112
4767,2yanyan9,103,2,276
4768,2yanzi121,126,1,60
4769,2yaokun03,104,1,87
4770,2yaoli19901,26,1,122
4771,2yasaa1199,131,1,187
4772,2yatouain0,140,1,80
4773,2yaya200413,124,1,33
4774,2ychy36,134,1,257
4775,2ye0201,134,1,46
4776,2yelin2,133,1,72
4777,2yezi09,11,1,246
4778,2yhwl13,71,1,217
4779,2yhy80,141,1,82
4780,2yichun03,43,1,220
4781,2yifan198380,88,1,264
4782,2yifan_07,43,1,114
4783,2yikan082,131,1,98
4784,2ying04,38,1,119
4785,2yinghuay7,0,2,332
4786,2yingzi012,123,1,239
4787,2yinhe1,71,1,240
4788,2yinn_ob1,25,1,149
4789,2yinyi8605,136,1,140
4790,2yiran8506,141,1,84
4791,2yixue03,104,1,166
4792,2yiyiyaya06,141,1,148
4793,2yjf0538,43,1,243
4794,2yjx20011,82,1,49
4795,2ylj7,4,2,196
4796,2ylq8803,70,1,144
4797,2ymm103,32,1,30
4798,2yonaka1,144,1,268
4799,2yongxue090,141,1,99
4800,2yoohno1,7,1,268
4801,2yours81,72,1,34
4802,2youthlp3,104,1,136
4803,2youyou20,94,1,149
4804,2yoyi1,9,1,134
4805,2yoyo60,43,2,241
4806,2yoyolm5,112,1,156
4807,2yscyao3,131,1,180
4808,2yuan1338,135,1,146
4809,2yuanyuanjuan0,102,1,131
4810,2yuenyan18,71,1,94
4811,2yuhanwang13,49,1,154
4812,2yuki19920,63,1,241
4813,2yuki59,41,1,159
4814,2yusuhan01,139,1,112
4815,2yutin3,10,1,182
4816,2yuxi2,56,1,38
4817,2yuxx0,131,3,344
4818,2yuyan010,89,2,421
4819,2yuyanyun2,141,1,74
4820,2yuyu195,62,1,94
4821,2ywjw2,137,1,113
4822,2yww02,104,1,87
4823,2yy0510,124,1,63
4824,2yy9342382,23,1,89
4825,2yy96003,104,1,217
4826,2yy_22,134,1,66
4827,2yylovejj551,105,1,221
4828,2yyqhx3,125,1,63
4829,2yyushinann3,98,1,94
4830,2yyyzhou2,104,1,135
4831,2z4182871,104,1,87
4832,2zdzjh201413,67,1,120
4833,2zeno4,23,1,158
4834,2zeta14,102,1,87
4835,2zh4,78,1,98
4836,2zhangr1,117,1,62
4837,2zhangwenyun6,10,1,210
4838,2zhangzebin23,14,1,44
4839,2zhangzhen198819,91,1,94
4840,2zhang文倩1,102,1,135
4841,2zhaojiahua737,134,1,94
4842,2zhaoruiqi14,49,1,49
4843,2zhczhc15,5,1,228
4844,2zhengaihua6,9,1,222
4845,2zhhw12,105,1,87
4846,2zhl19880,88,1,149
4847,2zhouhuan5,130,1,76
4848,2zhouhuimin0,131,1,179
4849,2zhouyan198802,32,1,94
4850,2zhouying1,141,1,120
4851,2zhouying7,80,1,144
4852,2zhuang3,5,1,94
4853,2zhuanghan05,103,1,100
4854,2zhuying1,129,1,174
4855,2zhuzhu8508,125,1,70
4856,2zishen8,76,1,217
4857,2zixian9213,82,1,81
4858,2zjdxm_198501,104,1,59
4859,2zjh9117,140,1,43
4860,2zjj_02,123,1,199
4861,2zjx600,141,1,177
4862,2zkl46,72,1,94
4863,2zlm7405,43,1,196
4864,2zls9,42,1,235
4865,2zly09,136,1,84
4866,2zly9103,83,1,114
4867,2zola25,41,1,87
4868,2zoom22222,141,1,89
4869,2zoso3,61,2,178
4870,2zq199519,91,1,34
4871,2zsh948tjw0,3,1,89
4872,2zsyxzj8,122,1,34
4873,2zt05,93,1,94
4874,2ztlxihuanxj0,59,1,149
4875,2zuozuo27,130,1,216
4876,2zuozuo8302,141,1,38
4877,2zw8218,104,2,285
4878,2zwq2019,132,1,218
4879,2zxc5825,4,1,124
4880,2zxing8107,99,1,34
4881,2zxn3277,104,1,199
4882,2zxnn15,5,2,125
4883,2zxq06,113,1,144
4884,2zxt06,131,1,144
4885,2zy10063,104,1,87
4886,2zy587078,141,1,36
4887,2zyx08,104,1,124
4888,2zyz8519,62,1,138
4889,2zzzzz80,141,1,203
4890,2z龙少0,76,1,261
4891,2一半阳光12,69,1,234
4892,2一叶倾2,86,1,58
4893,2一条鳗鱼2,139,1,183
4894,2丁丁09,141,1,66
4895,2丁亚楠04,3,3,441
4896,2丁小雨8208,72,1,94
4897,2万云2,91,1,252
4898,2不忘初心203111,60,1,135
4899,2不忧伤的孩2,82,1,144
4900,2不离不弃13141,62,1,148
4901,2丫丫木木04,128,2,252
4902,2中信红树2,145,1,206
4903,2丸子小樱桃17,2,3,171
4904,2丽丽莎莎4,72,1,42
4905,2丽丽酱878766,141,1,84
4906,2乒乓ball4,7,1,51
4907,2乞丐公7,91,1,99
4908,2云孩子9,78,1,49
4909,2亲亲抱抱19880,119,1,193
4910,2亲程0,147,1,133
4911,2付森烨0,141,1,245
4912,2仙仙04,134,1,34
4913,2仰望星空19,61,1,94
4914,2会飞的坦克2,3,1,89
4915,2伟伟不道德635577,103,1,250
4916,2何浩198913,130,1,134
4917,2何珊珊12,141,1,74
4918,2何苗13901,148,1,66
4919,2你想不到的595450,21,1,158
4920,2依然柚2,128,2,504
4921,2修炼修炼3,79,1,117
4922,2倔强丫头19,32,1,111
4923,2倩小妮5,55,1,37
4924,2傅姐5917,19,1,165
4925,2储澄2,96,1,40
4926,2先鹏0,87,1,149
4927,2兔小白3,141,1,79
4928,2公主的梦想0,91,1,49
4929,2六六19941,132,1,64
4930,2六芒9,141,1,262
4931,2兴趣广泛3,88,1,250
4932,2兽兽1,104,1,234
4933,2冬冬80230,103,1,87
4934,2冯先生9606,141,1,84
4935,2冯文韬2,87,1,45
4936,2冯紫瑾02,42,1,201
4937,2冰灵儿19,7,3,236
4938,2冰糖葫芦07,139,1,257
4939,2冷眸s0,83,1,220
4940,2凌凌儿0,21,1,118
4941,2凌波薇薇0,104,1,67
4942,2凝月冥冥09,124,1,140
4943,2刘嘉怡06,105,1,40
4944,2刘富强10303,133,2,214
4945,2刘小畅83,114,1,133
4946,2刘小闹3,78,1,118
4947,2刘峻8902,104,1,87
4948,2刘志遥75,104,1,233
4949,2刘欣7,104,1,33
4950,2刘美美19,99,1,51
4951,2刘飞19803,10,1,98
4952,2刺猬6814,121,1,49
4953,2力量帝3,62,1,104
4954,2千鸟要0,111,1,144
4955,2半夏banxia3,141,1,72
4956,2华华小丸子3,43,1,270
4957,2单爽ss_3,141,1,66
4958,2南南20151,86,1,165
4959,2博涵02,119,1,240
4960,2卜子茜1,43,1,87
4961,2卡匹迪恩8801,7,1,94
4962,2卡卡yj3,41,1,178
4963,2卢颖琳3,137,1,84
4964,2双双9313,141,1,228
4965,2古全草3,80,1,250
4966,2叮凌1,104,1,167
4967,2叮叮当当8,141,1,229
4968,2叶嘉琪01,137,2,295
4969,2叶妮1,7,1,94
4970,2叶诗颖41,124,1,72
4971,2吉赛尔9,121,1,49
4972,2向尚0,23,1,34
4973,2吕大业5,130,1,255
4974,2吴启珍7,141,1,239
4975,2呀呀呀30,16,1,147
4976,2周佩2,5,1,74
4977,2周凌斌65,43,2,300
4978,2周周玉玉3,14,1,166
4979,2周均瑶16,116,1,149
4980,2周小牛0,104,1,207
4981,2周金辰3,138,1,262
4982,2呼啦啦006,87,1,149
4983,2命中注定11,10,1,49
4984,2哐哐03,4,1,94
4985,2啦啦啦啦啦啦啦啦490467,125,1,72
4986,2喜欢饼干3,141,1,87
4987,2喵咕384,140,1,64
4988,2嘟嘟2,37,1,249
4989,2嘟嘟8905,54,1,45
4990,2四月芳菲05,141,1,84
4991,2园子5,104,1,102
4992,2国丽君3,13,1,257
4993,2圈圈圆圆17,62,1,59
4994,2夏雨落0,3,1,94
4995,2多多听话3,71,1,148
4996,2大乐乐乐3,124,1,72
4997,2大小姐15,104,1,117
4998,2大摇大6,130,1,160
4999,2大河向南流3,141,1,206
5000,2大炮炮3,141,1,128
5001,2大玉儿6412,1,1,133
5002,2大白胖子96,62,1,217
5003,2大硕1,62,1,121
5004,2天云山庄3,104,1,221
5005,2天天向上7403,99,1,124
5006,2天天天天198912,101,1,144
5007,2天空之城8,144,1,149
5008,2夯4,123,1,87
5009,2奈菲尔塔利18,104,1,87
5010,2奎琳0,116,1,40
5011,2如花似玉17,23,1,89
5012,2妈妈的宝宝05,103,1,137
5013,2妞妞丫9,44,2,228
5014,2妮妮糖糖0,75,1,149
5015,2姗姗13,103,1,139
5016,2姗姗love07,3,1,240
5017,2娜娜maggi7,42,1,199
5018,2娜娜猪201102,22,1,32
5019,2婷婷的糖糖8900,136,1,74
5020,2子涵9,141,1,182
5021,2子玉4,41,1,116
5022,2孔丹2,62,1,148
5023,2孙小美3,82,1,201
5024,2孙晓8,96,1,149
5025,2孙雪10024671,59,1,124
5026,2孟小孟1,43,2,260
5027,2宇宇201404,62,1,246
5028,2守望麦田0118,118,1,250
5029,2宋宋09,141,1,144
5030,2宝宝静02,16,1,49
5031,2宝贝7,73,1,32
5032,2宝贝一璇04,135,1,251
5033,2宝贝兔子07,141,1,247
5034,2宝贝梓轩13140,43,1,267
5035,2宝贝爱美丽043000,78,1,229
5036,2宣宣5214,89,2,405
5037,2宸宸03,141,1,127
5038,2宿敌来犯9,131,1,235
5039,2寂寞开成海00,103,1,87
5040,2小1,141,1,172
5041,2小202,136,1,144
5042,2小fish13,141,1,148
5043,2小不懂8719,141,1,72
5044,2小不点儿妈妈2,140,1,151
5045,2小丫头哼哼0,141,1,72
5046,2小乐妈3,141,1,74
5047,2小君1,43,1,178
5048,2小呆呆8,128,1,40
5049,2小哑7712237,102,2,288
5050,2小圆02,93,1,94
5051,2小妮妹3,43,1,227
5052,2小宇儿19905,102,1,130
5053,2小小云朵02,104,1,235
5054,2小小小乔巴6,43,1,87
5055,2小弟5,53,1,75
5056,2小忙人1,74,1,205
5057,2小手冰凉9,127,1,121
5058,2小打小闹15,146,1,217
5059,2小柒1016,141,1,157
5060,2小橙子1992,4,1,177
5061,2小沐尔201403,56,1,49
5062,2小游17,133,1,38
5063,2小猪猪88,141,1,131
5064,2小白01,72,1,111
5065,2小白兔00,43,1,208
5066,2小石头201115,141,1,79
5067,2小确幸01,72,1,94
5068,2小米红1,23,1,34
5069,2小胆子3,103,1,291
5070,2小艾04,136,1,31
5071,2小萝卜干03,104,1,87
5072,2小蔫3,127,1,47
5073,2小虾米091818,62,1,34
5074,2小蝴蝶07,104,1,87
5075,2小谨子83,93,1,94
5076,2小野04,141,1,79
5077,2小锋7,141,1,94
5078,2小静静6,114,1,186
5079,2小韬97,136,1,131
5080,2小香猪02,141,1,74
5081,2小鹿鹿0,17,1,141
5082,2小麻0010,8,1,149
5083,2山水清音01,141,1,210
5084,2岛是海心上的疤1,141,1,60
5085,2川词昔梦12,141,1,73
5086,2差等生82,62,1,171
5087,2干卿何事3,72,1,94
5088,2干巴爹6,127,1,140
5089,2幸福猪猪2,83,1,144
5090,2幸福的轮廓50,141,1,74
5091,2幽游天使43,43,1,132
5092,2康娜0,112,1,236
5093,2康康75,104,1,99
5094,2开心就是1,110,1,181
5095,2张xiao丹6409,21,1,184
5096,2张俊楠6,22,1,106
5097,2张宝宝10,128,1,323
5098,2张小野6,104,1,202
5099,2张心怡10,55,1,137
5100,2张战英5503,77,1,269
5101,2张星星17,19,2,297
5102,2张晓洁04,131,1,237
5103,2张欣怡9,112,1,227
5104,2张璐195,116,1,65
5105,2张程程9907,104,1,162
5106,2张风云05200,5,1,94
5107,2彬彬131409196,104,1,181
5108,2徐步1,103,1,133
5109,2微风吹过197800,104,2,450
5110,2心月悠悠0,102,1,174
5111,2心爱宝宝6,2,1,154
5112,2快乐小5,102,1,132
5113,2快乐青7,86,1,124
5114,2思宝04,141,1,84
5115,2悦悦9209,65,1,272
5116,2想飞的土豆8,125,1,50
5117,2愿时光待你好83,138,1,63
5118,2懒懒5,87,2,91
5119,2懒猫宝宝3248,43,1,194
5120,2我姓李8,58,1,35
5121,2我思故我在20005,62,1,132
5122,2我是5,22,1,139
5123,2我是vip我爱bigbang09,61,1,117
5124,2我是一直会飞的猪3,137,1,246
5125,2我是小白08,59,1,183
5126,2我是小美_8,72,1,123
5127,2我有我风格3,140,1,233
5128,2我爱money4,91,1,94
5129,2我要代表月亮消灭8,71,1,163
5130,2我要购物22,23,1,202
5131,2戒槿2,141,1,207
5132,2扔炸弹的猪5,22,1,34
5133,2扬灵3,125,1,87
5134,2斑驳了记忆荒凉了晨1,43,2,476
5135,2施淑萍0,130,1,64
5136,2无敌晖晖3,131,1,33
5137,2旭阳商贸1,103,1,243
5138,2星依浅黛44,141,1,33
5139,2星星点点sta1,141,1,72
5140,2星期八2012,141,1,216
5141,2春暖花开02,141,1,72
5142,2晓卫7182,103,1,203
5143,2晓天52013140,91,1,121
5144,2普罗旺9,87,1,40
5145,2晴qing5,81,1,144
5146,2暖色16,141,1,173
5147,2曼栖7,62,2,245
5148,2曾yifan16,123,1,63
5149,2曾亚丽2,78,1,168
5150,2曾兰芬0,141,1,87
5151,2月剪西风0,35,1,38
5152,2月月月月月1,104,1,87
5153,2朋来先1,105,1,149
5154,2朱宣橙96,22,1,34
5155,2朱建0,72,1,30
5156,2朱彩霞好19,141,1,128
5157,2朱曦alice96,104,1,103
5158,2朵朵蓝1,107,1,149
5159,2机器人1233,75,1,173
5160,2李1,104,1,105
5161,2李倩敏121,83,1,191
5162,2李名哲0,101,2,217
5163,2李姐198819,72,1,94
5164,2李木勺07,84,2,69
5165,2李梦竹08,104,1,87
5166,2李满丽8503,66,1,144
5167,2李珍05,43,2,132
5168,2杨公主18,134,1,188
5169,2杨小q5,41,1,157
5170,2杨旌旗3,17,1,149
5171,2杨森森9,7,1,94
5172,2林家铺子96,2,1,40
5173,2林瑞琪3,43,1,87
5174,2林鑫1988103021,104,1,237
5175,2林雪倩07,141,1,134
5176,2枫桥夜泊16,67,1,181
5177,2柯妮妮0,125,1,72
5178,2栗子chestnut17,29,1,144
5179,2桃7,83,1,178
5180,2桃夭92,93,1,254
5181,2梁诗0,130,1,130
5182,2梅199519,57,2,431
5183,2梅格妮09,61,1,94
5184,2梅菲8902,43,1,196
5185,2梦_smile0,93,1,251
5186,2梦梦ya7,141,1,78
5187,2梦楫mj3,141,1,100
5188,2梦露cm2,32,1,94
5189,2梯恩2,11,1,49
5190,2棒棒棒棒2,141,1,38
5191,2楚楚198004,114,1,140
5192,2樱桃红了983333,22,1,113
5193,2樱花芝2,126,1,149
5194,2橡皮筋3,43,2,556
5195,2欧阳198712,42,1,155
